"","ME6","ME4","ME5","ME7","ME3","ME1","ME2","ME0"
"Donor3_U_FA_2hr",0.0366352790268692,-0.0802442728551826,0.0467254158051165,0.0488094644616045,0.181146507179158,0.0634568468617478,0.050271207458048,0.0781156114715201
"Donor3_U_O3_2hr",0.0479567324818252,-0.0763641674188149,0.0582975556306667,0.0593964420280375,0.196211206890101,0.0831951625105382,0.0660307654271232,0.104496387649048
"Donor4_P_FA_2hr",0.0500945046314787,-0.0665648040231858,0.0660688815261528,0.0696381958476865,0.195723971950709,0.0840633916599602,0.0628660393192078,0.111178560337418
"Donor4_P_O3_2hr",0.0343480116727306,-0.0731058925268651,0.0541964934929377,0.0566948634854868,0.190527101399245,0.0625609200569612,0.048825813012028,0.0913970050341981
"Donor4_U_FA_2hr",0.0446806655390113,-0.0770249921410589,0.0497150590922072,0.0482425786524948,0.186462325813352,0.0751502109561981,0.0577245287366617,0.09194034923899
"Donor4_U_O3_2hr",0.0370235896631619,-0.0800190554206131,0.0474808237967135,0.0519934052796382,0.18634176689314,0.0587149372661858,0.063969275033942,0.0893054503215503
"Donor5_P_FA_2hr",0.0489070247788472,-0.0737658761988369,0.0615153061382141,0.0682423403005914,0.194653960117326,0.0808268364589055,0.0618671435637432,0.103634186294511
"Donor5_P_O3_2hr",0.0444207983677988,-0.0742982029816339,0.0607122559053524,0.0659178802788255,0.193804589878499,0.0797662027992972,0.0615651873334593,0.104317695171003
"Donor5_U_FA_2hr",0.0527468165335608,-0.0782210168552214,0.0586434955892757,0.0650284383059534,0.195854028124001,0.0937972501034438,0.0732086802005282,0.101981353611405
"Donor5_U_O3_2hr",0.0452338534260216,-0.080990465566018,0.052448334324224,0.0635925848936778,0.190183311302109,0.0810966093444554,0.0681817710591941,0.098344604088978
"Donor6_P_FA_2hr",0.0615661315117257,-0.0676925110059137,0.0692273297808768,0.0785002403093521,0.204897109410557,0.0928969204071275,0.0716364501330871,0.125813578032449
"Donor6_P_O3_2hr",0.0745013082011083,-0.0635657693253014,0.0806054238751955,0.0879727592163055,0.217520593552488,0.115605252533114,0.0865293396411906,0.14522026015316
"Donor6_U_FA_2hr",0.0411504684560827,-0.0787910450481521,0.0484364547629086,0.0501804626708505,0.179057904771818,0.06057356641673,0.0576816500959275,0.0827143716412016
"Donor6_U_O3_2hr",0.0479475862996505,-0.0779241190397844,0.0513373621573264,0.0560087307344641,0.184271909491499,0.0734483896714632,0.0623225266437309,0.0932449469486164
"HG_1",0.0534507170561589,-0.106119328293229,-0.0753543243126977,0.043738337815504,-0.00357086754958686,0.0697946613027567,0.081854451940342,0.0708717431318282
"HG_2",0.0628189137093104,-0.102861255614882,-0.0673471523649072,0.0417392837099941,-0.00467999040056155,0.0912430255739415,0.0672973321643886,0.0811296652797808
"HG_3",0.0695244356197673,-0.103206685976289,-0.0645947009169797,0.0469447223568435,-0.00458152923516485,0.0949153834049308,0.0764274041158799,0.0893535956061687
"HG_4",0.0494685546415851,-0.103505724712648,-0.0763891265298746,0.0315541697516028,-0.00714127437528277,0.0745180997891523,0.0535233266960056,0.0561565747172195
"HG_5",0.0514913255260535,-0.104078864068646,-0.0723878052079572,0.0323630077777033,-0.00671067455173302,0.0744257461203285,0.0542905549563688,0.0591023524579524
"MG_1",0.048810146180469,-0.102946080506386,-0.0730320338291914,0.030748302588196,-0.00666963503436692,0.0695909582251351,0.0547179904097281,0.0639000557767148
"MG_2",0.0636399493370242,-0.105862338363555,-0.0667403914221497,0.0492660374228218,-0.00139914750059356,0.0794984900504868,0.088148970024991,0.0884720668177902
"MG_3",0.067006136478685,-0.102784396846417,-0.0672142153509325,0.0428148355332596,-0.00545954308465457,0.0861668612207474,0.0723050643237172,0.0871501102911976
"MG_4",0.0502443311536328,-0.103538467063106,-0.0744210602493048,0.0323651118375788,-0.00620978207705205,0.0693939915364146,0.058660711986501,0.0627263890304296
"MG_5",0.0669803212472407,-0.101649091377245,-0.0677106743340771,0.0462532903516741,-0.00269234283051534,0.0912055893992317,0.0745604760721065,0.0916430846234608
"R42015-419pf_1-IR_L7",0.0316686546863238,0.0293289912770765,0.0317304932339017,0.0300521950886468,-0.0042347002671824,0.0395898430717906,0.016618225445381,0.0193015214631864
"R42015-490pf_100-IR_L2",0.0148789881021283,0.0210075642461084,0.0190422099841278,0.0230718956355144,-0.00789399880641784,0.0041943410006362,0.0318295592103843,9.07971519967866e-05
"R42016-137pf_101-IR_L5",0.0177545120394975,0.0219117579802134,0.0212809632928113,0.0159499479199416,-0.00719066970125453,0.0122874639736832,0.0190228440987167,0.0160835147259069
"R42015-491pf_102-IR_L2",-0.0114503553790334,0.00873734779422109,-0.00117684183244598,-0.00651307148584133,-0.0134548025310608,-0.0321826565148007,-0.00703688429154616,-0.02001913827994
