"","ME6","ME4","ME5","ME7","ME3","ME1","ME2","ME0"
"R42015-215pf_236-IR_L3",-0.00701176905923954,0.00986437821874716,0.000227111728639826,0.00620371353434201,-0.0106351316728152,-0.0295976674580913,0.0115177379696751,-0.00977955233730414
"R42015-216pf_237-IR_L3",-0.0108525849453902,0.0086292187119517,-0.00319366704503359,-0.0022104806159804,-0.0125892567596338,-0.0254736319732775,-0.00472127797283579,-0.0264221245253754
"R42015-217pf_239-IR_L3",-0.00993793765295349,0.011323770155549,0.00233922174993775,0.00145509134409465,-0.0135123518218047,-0.0273063726627575,-0.00414590760135481,-0.0230662812900469
"R42015-423pf_24-IR_L8",0.013267602439555,0.0218150814350117,0.0208451820851429,0.00163424492476054,-0.0074711060955758,0.0164484911512861,-0.0248020339112595,0.0215905075146267
"R42015-218pf_240-IR_L4",0.000202363950131916,0.0144791743638386,0.00824019349836878,-0.00115136390056547,-0.0106539969155832,-0.0139101138462498,-0.000715483757856157,-0.0111399440251991
"R42015-219pf_241-IR_L4",0.00156201962456534,0.0144819623202917,0.0107851351533394,0.00355989367089651,-0.00868803409294087,-0.0211811336867593,0.0132255397511047,-0.00595026485956156
"R42015-220pf_242-IR_L4",-0.0238011399221267,0.000765492505120461,-0.0107834101269847,-0.0148255968706586,-0.0105455515181685,-0.0527785641861932,-0.00602900426285412,-0.0178623518800448
"R42015-221pf_243-IR_L4",-0.0181812519545313,0.00754518030782365,-0.0098760139689536,-0.0114706995716964,-0.014848379091375,-0.0464234732829467,-0.00525092819438823,-0.0399374702426775
"R42015-222pf_244-IR_L4",-0.0104089222210032,0.00682236305519585,-0.00260099643236753,-0.00671269550323753,-0.0141022465828651,-0.0257373115793833,-0.0153917270624291,-0.0326494939610124
"R42015-223pf_245-IR_L4",-0.0403077074082295,-0.00279801969696383,-0.0246529640369038,-0.030557225732793,-0.0174563774443255,-0.0635594460177746,-0.0404670591726128,-0.0623650691373898
"R42015-224pf_246-IR_L4",-0.024308173896806,-0.000231385506812845,-0.0184060607375121,-0.014468947196395,-0.0177737974648448,-0.038393877930011,-0.0381732515635771,-0.0755823865465675
"R42015-225pf_247-IR_L4",-0.0272963223475627,0.000559855137170206,-0.0153216784270636,-0.0155137005188991,-0.0142475587107353,-0.0349520171990027,-0.0299434929478458,-0.0505251381894034
"R42015-226pf_248-IR_L4",0.0078303134616021,0.0139322021041212,0.0105647131390991,-0.00147415926009594,-0.0107674903929904,0.00813895339835506,-0.0198501482674617,0.00245753653678153
"R42015-227pf_249-IR_L4",-0.00151790929067692,0.0158727791626015,0.00473651388370162,-0.00108624921509863,-0.0127606934335401,-0.0114466184018946,-0.0145819226424703,-0.0286656918716697
"R42016-099pf_25-IR_L2",-0.0188332313190109,0.00655797505775679,-0.0100528519296926,-0.0276687618701208,-0.0138979820279551,-0.0239900837570183,-0.056116894353153,-0.0436160393633727
"R42015-228pf_250-IR_L4",-0.000873532332342279,0.0143240030575446,0.00479541218565127,-0.00260353112627736,-0.0105123504249269,-0.0100455410521373,-0.00667884417266178,-0.0161689607742428
"R42015-229pf_251-IR_L4",0.00118430555759792,0.0136622992686632,0.0084874513244132,0.00422634819585206,-0.0120098333151976,-0.00755534204867238,0.00588362788850782,-0.0161087430913805
"R42015-230pf_252-IR_L5",-0.0138771288273244,0.00830912832864666,-0.00187055542915018,-0.00860218342706975,-0.0135721240401008,-0.0264669395350821,-0.0118542295679666,-0.0292161755960416
"R42015-231pf_253-IR_L5",0.00238026653213282,0.0167155688987777,0.0104573295361009,-0.00248741508824805,-0.010267259160143,-0.016834882299856,-0.00177895759267486,0.00618771914519133
"R42015-232pf_254-IR_L5",-0.00209395303749163,0.0134320294626572,0.00529889815373492,-0.00720747937191803,-0.012385287874936,-0.0134809515569977,-0.0180360079614173,-0.0149170209083077
"R42015-546pf_255-IR_L6",-0.0381019375624004,-0.00469978091756051,-0.0286181631882912,-0.0403797168120823,-0.0170575017952708,-0.0569187095274443,-0.0716510553887176,-0.067802501314257
"R42015-233pf_256-IR_L5",-0.0491308629761616,-0.00874435020648049,-0.0329148073315263,-0.0477132706701337,-0.0197649629113893,-0.0706459725489405,-0.0717645628656306,-0.0919075093118729
"R42015-234pf_257-IR_L5",-0.0559684976700277,-0.012288852950175,-0.0397357200477477,-0.0558624208232347,-0.0204270881224563,-0.0769607769862826,-0.0853521810079593,-0.0922598587396713
