"","kME4"
"SBF1",0.285502874236523
"SLC4A3",0.285415526994985
"LRRC73",0.285069405006222
"ADCY4",0.285026996674009
"GAA",0.284993263406934
"CLIP2",0.284905847622221
"CHGA",0.284797983813056
"EGLN2",0.28469128184159
"RNF31",0.28469055185673
"IGSF8",0.284325317546216
"EXD3",0.284316384409725
"TELO2",0.284022664120046
"CITED4",0.284012389448464
"SPTBN5",0.283994798866964
"EEF1D",0.283958531412034
"ZC3H3",0.283905077495618
"LENG1",0.283900568058657
"KLF15",0.283876440722863
"ZNF213",0.283736963193758
"SLC12A7",0.283534613992605
"VPS9D1",0.283490650407931
"CLCN7",0.283415668364269
"P2RX3",0.283398776442705
"BAHCC1",0.28326573982178
"CCDC124",0.283134523298838
"SBK1",0.283003423451697
"JOSD2",0.28294424366842
"PRR12",0.282784295186314
"PRR22",0.282784108701301
"PHPT1",0.282764317924838
"PCYT2",0.282455077810103
"FBXL6",0.282158248993674
"ENKD1",0.282149181606507
"HAGHL",0.282098883982527
"RPL18A",0.282061126426057
"TIGD5",0.281969781516744
"JMJD7",0.281949532116521
"ADRM1",0.281782675704555
"GADD45GIP1",0.281754299441345
"WDR24",0.281687774405451
"POLRMT",0.281530192197812
"KCNQ4",0.281134135616366
"BOC",0.281037072246647
"GLIS2",0.281025787810788
"FAM89B",0.281011180423198
"LRFN4",0.281004625236604
"SLC17A9",0.280983549688666
"ASPSCR1",0.280683716048169
"HAAO",0.280320124460721
"ADAMTS8",0.28027358019208
"DAGLA",0.280194446452432
"A1BG",0.280193695095474
"ZNF300",0.279701046704253
"NR1D1",0.279589594480829
"PIK3R2",0.27954351889002
"D2HGDH",0.279429296535009
"PIDD1",0.279402386663739
"TSPAN4",0.279374122290848
"CEP131",0.279282231289351
"ACOT7",0.279201529088463
"PNPLA2",0.279190737810457
"ACE",0.279084954895193
"COMMD3-BMI1",0.278840396550949
"SORBS3",0.278792672209071
"VWA5B2",0.278789774664057
"ELFN2",0.278387047437469
"TSR3",0.278273571050612
"GOLT1A",0.278002185471003
"BEAN1",0.277848027614833
"GRIN2D",0.27764095673451
"NTHL1",0.277601624626356
"COMTD1",0.277596803560441
"BRAT1",0.277448046554896
"CPNE5",0.27734703722801
"DLL4",0.277344294250381
"GCAT",0.277227115883064
"FUT6",0.27722380624254
"EPHA10",0.277186932592164
"WIZ",0.277119521223829
"LGALS1",0.276970114353887
"SLC19A1",0.27696901476823
"RFX1",0.276936813658135
"ABLIM2",0.276724756143847
"TRMT61A",0.276705750643062
"ARHGEF16",0.276682336001175
"HEMGN",0.276571802083643
"PC",0.27653500700141
"CORO7",0.276333042905577
"MXRA8",0.276326697718614
"HYAL2",0.276161864423857
"SPOCK2",0.276137481362112
"TGFBR3L",0.276106880951836
"ADAMTS4",0.275926893069183
"MIB2",0.275901766980137
"PIGQ",0.275839343136149
"ACAP3",0.275806786765258
"SNX8",0.27579383954109
"NPAS1",0.275733918568142
"RASAL1",0.275719180736246
"SLC43A2",0.275587980986413
"SF3A2",0.275343439864409
"CASKIN1",0.275281955906543
"MVD",0.275247793530212
"PDE4A",0.275168276384826
"NPDC1",0.274967041240555
"YIPF2",0.274958489689852
"PLD3",0.274698161675726
"SPTBN2",0.274657885325264
"CSNK1E",0.274603978810585
"TRMT2A",0.274491466335877
"NPEPL1",0.274478365449535
"ZNF628",0.274377511564574
